drug_name,drug_price,drug_period,drug_in_stock,drug_arrival_date,drug_code_bar
Acetaminophen,535,7/10/2025 0:00,879,1/5/2021 0:00,4309
Adderall,6064,5/14/2024 0:00,996,1/6/2021 0:00,4863
Amitriptyline,5162,5/24/2023 0:00,332,1/7/2021 0:00,821
Amlodipine,3798,12/7/2025 0:00,863,1/8/2021 0:00,2869
Amoxicillin,1045,10/19/2023 0:00,251,1/9/2021 0:00,3261
Ativan,458,5/30/2023 0:00,674,1/10/2021 0:00,682
Atorvastatin,7275,5/26/2025 0:00,491,1/11/2021 0:00,2957
Azithromycin,1200,8/2/2023 0:00,931,1/12/2021 0:00,3646
Benzonatate,2274,4/9/2023 0:00,120,1/13/2021 0:00,1509
Brilinta,2011,5/3/2024 0:00,837,1/14/2021 0:00,5319
Bunavail,3643,11/21/2024 0:00,682,1/15/2021 0:00,6523
Buprenorphine,333,6/5/2023 0:00,761,1/16/2021 0:00,4830
Cephalexin,3745,5/10/2025 0:00,936,1/17/2021 0:00,2075
Ciprofloxacin,1745,10/18/2024 0:00,902,1/18/2021 0:00,3217
Citalopram,5062,2/17/2024 0:00,721,1/19/2021 0:00,2622
Clindamycin,2680,3/7/2025 0:00,104,1/20/2021 0:00,1039
Clonazepam,2263,5/28/2025 0:00,1018,1/21/2021 0:00,1045
Cyclobenzaprine,6145,2/22/2023 0:00,947,1/22/2021 0:00,3813
Cymbalta,4381,3/4/2023 0:00,226,1/23/2021 0:00,2660
Doxycycline,5783,3/12/2024 0:00,285,1/24/2021 0:00,7163
Dupixent,5531,9/7/2025 0:00,37,1/25/2021 0:00,6058
Entresto,4178,10/1/2023 0:00,815,1/26/2021 0:00,3566
Entyvio,2460,12/23/2023 0:00,1054,1/27/2021 0:00,795
Farxiga,673,12/5/2025 0:00,725,1/28/2021 0:00,3878
Fentanyl,5702,3/16/2025 0:00,315,1/29/2021 0:00,1303
Fentanyl Patch,5872,10/26/2025 0:00,536,1/30/2021 0:00,5999
Gabapentin,6098,11/27/2024 0:00,844,1/31/2021 0:00,2672
Gilenya,2092,2/24/2023 0:00,761,2/1/2021 0:00,5314
Humira,1895,11/24/2024 0:00,476,2/2/2021 0:00,942
Hydrochlorothiazide,6038,9/22/2025 0:00,453,2/3/2021 0:00,6538
Hydroxychloroquine,5105,7/10/2023 0:00,1093,2/4/2021 0:00,5972
Ibuprofen,4237,12/4/2023 0:00,710,2/5/2021 0:00,3960
Imbruvica,4096,3/15/2025 0:00,37,2/6/2021 0:00,5108
Invokana,4942,8/14/2025 0:00,859,2/7/2021 0:00,3259
Januvia,1081,2/12/2023 0:00,549,2/8/2021 0:00,3041
Jardiance,1705,4/5/2024 0:00,1085,2/9/2021 0:00,4963
Kevzara,418,8/5/2024 0:00,229,2/10/2021 0:00,1352
Lexapro,6861,1/8/2024 0:00,880,2/11/2021 0:00,6761
Lisinopril,7318,6/1/2025 0:00,1062,2/12/2021 0:00,5808
Lofexidine,5958,7/25/2024 0:00,687,2/13/2021 0:00,6972
Loratadine,2207,6/9/2023 0:00,187,2/14/2021 0:00,6852
Lyrica,1895,6/15/2025 0:00,336,2/15/2021 0:00,4711
Melatonin,3298,8/13/2023 0:00,219,2/16/2021 0:00,625
Meloxicam,4559,9/3/2023 0:00,790,2/17/2021 0:00,6405
Metformin,2904,12/15/2024 0:00,854,2/18/2021 0:00,2059
Methadone,3725,7/25/2024 0:00,787,2/19/2021 0:00,5156
Methotrexate,6732,5/9/2023 0:00,93,2/20/2021 0:00,3269
Metoprolol,2653,2/15/2024 0:00,252,2/21/2021 0:00,3421
Naloxone,6513,5/5/2025 0:00,320,2/22/2021 0:00,2129
Naltrexone,5017,12/9/2024 0:00,786,2/23/2021 0:00,5842
Naproxen,2314,12/4/2024 0:00,637,2/24/2021 0:00,7222
Omeprazole,397,8/30/2024 0:00,1079,2/25/2021 0:00,6548
Onpattro,1611,11/3/2023 0:00,646,2/26/2021 0:00,3432
Otezla,6857,2/5/2025 0:00,948,2/27/2021 0:00,2041
Ozempic,259,9/7/2025 0:00,1059,2/28/2021 0:00,3016
Pantoprazole,5420,5/14/2024 0:00,798,3/1/2021 0:00,1961
Prednisone,2758,10/28/2023 0:00,761,3/2/2021 0:00,2094
Probuphine,4504,3/1/2025 0:00,264,3/3/2021 0:00,1467
Rybelsus,7196,12/22/2025 0:00,408,3/4/2021 0:00,5935
secukinumab,4739,3/2/2025 0:00,798,3/5/2021 0:00,5046
Sublocade,7198,2/3/2023 0:00,548,3/6/2021 0:00,3455
Tramadol,7086,3/14/2023 0:00,499,3/7/2021 0:00,6492
Trazodone,6711,6/26/2023 0:00,946,3/8/2021 0:00,6023
Viagra,2879,3/2/2023 0:00,339,3/9/2021 0:00,7240
Wellbutrin,2843,10/17/2024 0:00,26,3/10/2021 0:00,279
Xanax,5917,7/4/2024 0:00,520,3/11/2021 0:00,7302
Zubsolv,5155,10/25/2025 0:00,17,3/12/2021 0:00,6262
