drug_name,drug_price,drug_period,drug_in_stock,drug_arrival_date,drug_code_bar
Acetaminophen,2026,1/27/2026 0:00,848,6/10/2022 0:00,2676
Adderall,2632,11/22/2025 0:00,409,12/5/2021 0:00,862
Amitriptyline,6652,8/22/2025 0:00,499,11/3/2021 0:00,595
Amlodipine,7456,9/15/2024 0:00,577,6/6/2021 0:00,5805
Amoxicillin,5846,8/31/2023 0:00,733,12/8/2022 0:00,7293
Ativan,2094,8/9/2025 0:00,126,9/1/2021 0:00,6543
Atorvastatin,1176,5/3/2024 0:00,611,2/6/2021 0:00,1497
Azithromycin,3044,1/24/2024 0:00,19,10/12/2021 0:00,6780
Benzonatate,6418,1/19/2023 0:00,996,8/30/2022 0:00,4789
Brilinta,5178,2/9/2024 0:00,699,1/16/2021 0:00,2839
Bunavail,7157,1/11/2024 0:00,550,4/24/2021 0:00,4130
Buprenorphine,2724,5/8/2024 0:00,471,1/21/2022 0:00,1252
Cephalexin,5107,6/2/2025 0:00,371,3/8/2022 0:00,4209
Ciprofloxacin,2182,12/28/2023 0:00,313,8/17/2021 0:00,4546
Citalopram,4545,3/9/2025 0:00,679,1/30/2021 0:00,2259
Clindamycin,4034,8/15/2023 0:00,566,9/10/2021 0:00,5841
Clonazepam,557,7/24/2025 0:00,797,11/15/2021 0:00,7188
Cyclobenzaprine,4513,5/29/2025 0:00,341,7/1/2021 0:00,5419
Cymbalta,1596,2/6/2025 0:00,916,3/7/2021 0:00,2263
Doxycycline,2998,5/27/2023 0:00,278,1/29/2022 0:00,5453
Dupixent,3643,2/19/2023 0:00,276,4/24/2022 0:00,3194
Entresto,3379,7/18/2023 0:00,484,7/21/2022 0:00,6009
Entyvio,1884,10/28/2023 0:00,10,5/29/2021 0:00,3104
Farxiga,7158,1/14/2025 0:00,147,5/23/2022 0:00,5429
Fentanyl,5701,3/29/2024 0:00,7,5/2/2021 0:00,2744
Fentanyl Patch,2168,11/20/2023 0:00,432,1/20/2021 0:00,3094
Gabapentin,1387,3/2/2023 0:00,995,9/9/2022 0:00,4939
Gilenya,3772,9/14/2025 0:00,104,12/1/2021 0:00,566
Humira,6348,6/20/2025 0:00,847,1/25/2021 0:00,2608
Hydrochlorothiazide,3940,4/14/2023 0:00,1018,2/18/2021 0:00,5032
Hydroxychloroquine,5515,10/25/2025 0:00,207,5/30/2021 0:00,3448
Ibuprofen,7163,5/2/2024 0:00,766,12/17/2022 0:00,4270
Imbruvica,1811,7/28/2023 0:00,498,2/23/2022 0:00,6867
Invokana,7296,4/9/2025 0:00,490,4/8/2022 0:00,7348
Januvia,4527,9/14/2023 0:00,1021,1/6/2021 0:00,5767
Jardiance,4182,8/31/2024 0:00,290,2/13/2021 0:00,1052
Kevzara,4433,12/25/2024 0:00,980,12/16/2021 0:00,4838
Lexapro,2635,11/23/2024 0:00,765,6/11/2022 0:00,914
Lisinopril,6075,3/1/2024 0:00,692,9/21/2021 0:00,2351
Lofexidine,4441,3/6/2025 0:00,556,2/4/2022 0:00,3806
Loratadine,4435,9/15/2023 0:00,371,4/22/2021 0:00,2664
Lyrica,562,6/4/2025 0:00,898,12/1/2022 0:00,4508
Melatonin,7467,2/19/2024 0:00,638,7/15/2022 0:00,4599
Meloxicam,1197,7/2/2024 0:00,933,4/26/2021 0:00,6987
Metformin,583,6/23/2025 0:00,202,4/6/2022 0:00,6610
Methadone,3533,12/26/2024 0:00,739,12/15/2022 0:00,3344
Methotrexate,3612,1/9/2024 0:00,296,10/20/2022 0:00,6268
Metoprolol,6030,10/20/2025 0:00,559,8/23/2021 0:00,1783
Naloxone,3799,9/5/2024 0:00,226,12/2/2021 0:00,3310
Naltrexone,899,2/29/2024 0:00,1037,1/8/2021 0:00,7127
Naproxen,7140,12/18/2024 0:00,256,7/4/2022 0:00,6160
Omeprazole,5479,8/7/2025 0:00,1008,12/24/2022 0:00,1932
Onpattro,4834,3/12/2025 0:00,49,9/30/2022 0:00,3544
Otezla,3565,2/3/2023 0:00,608,7/9/2021 0:00,2874
Ozempic,4168,7/12/2025 0:00,594,2/5/2021 0:00,1798
Pantoprazole,7400,4/7/2025 0:00,353,12/16/2022 0:00,3111
Prednisone,3557,8/9/2025 0:00,1087,1/6/2022 0:00,2577
Probuphine,4489,3/25/2023 0:00,1010,9/4/2022 0:00,2743
Rybelsus,521,6/2/2024 0:00,651,12/30/2021 0:00,309
secukinumab,6652,1/18/2023 0:00,370,8/14/2022 0:00,1156
Sublocade,3583,3/3/2025 0:00,451,11/12/2022 0:00,2308
Tramadol,5432,3/17/2025 0:00,1025,3/21/2021 0:00,5511
Trazodone,1037,8/31/2023 0:00,408,6/27/2021 0:00,5214
Viagra,3478,6/1/2023 0:00,906,4/23/2021 0:00,265
Wellbutrin,6430,4/24/2023 0:00,485,8/24/2022 0:00,7464
Xanax,2829,1/5/2025 0:00,687,7/9/2022 0:00,5084
Zubsolv,5487,4/29/2025 0:00,948,1/9/2022 0:00,3952
